INFO 2025-05-11 13:25:55,019 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/sessions/models.py first seen with mtime 1746826653.2819245
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/forms/formsets.py first seen with mtime 1746826653.3214025
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/ast.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/functional.py first seen with mtime 1746826653.3308167
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/cache.py first seen with mtime 1746826653.3299284
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/forms/__init__.py first seen with mtime 1746826653.3209655
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/template/library.py first seen with mtime 1746826653.3270187
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/traceback.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1746826653.3187487
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/zipfile/_path/__init__.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/messages/constants.py first seen with mtime 1746826653.2605374
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/checks/__init__.py first seen with mtime 1746826653.3047554
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/email/base64mime.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/asyncio/subprocess.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/copyreg.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/lib-dynload/_asyncio.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/asyncio/timeouts.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/signal.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1746826653.3139424
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/wsgiref/util.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1746826653.3034315
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/lzma.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/expressions.py first seen with mtime 1746826653.3166711
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/mail/message.py first seen with mtime 1746826653.3069346
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/email/policy.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/admin/models.py first seen with mtime 1746826653.1252172
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/functions/mixins.py first seen with mtime 1746826653.3192773
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/paginator.py first seen with mtime 1746826653.3039353
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/http/client.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/re/_compiler.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/conf/__init__.py first seen with mtime 1746826653.0895832
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/models/base.py first seen with mtime 1746826653.316161
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/lib-dynload/_queue.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/email/encoders.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/template/loader.py first seen with mtime 1746826653.327098
DEBUG 2025-05-11 13:25:55,096 autoreload File /usr/lib/python3.13/weakref.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,096 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/_request_methods.py first seen with mtime 1746920160.7637756
